,average CF
b'20070216190000',0
b'20070216200000',0
b'20070216210000',0
b'20070216220000',0
b'20070216230000',0
b'20070217000000',0
b'20070217010000',0
b'20070217020000',0
b'20070217030000',0
b'20070217040000',0
b'20070217050000',0
b'20070217060000',0
b'20070217070000',0
b'20070217080000',0
b'20070217090000',0
b'20070217100000',0
b'20070217110000',0
b'20070217120000',0
b'20070217130000',0
b'20070217140000',0
b'20070217150000',0
b'20070217160000',0
b'20070217170000',0
b'20070217180000',0
b'20070217190000',0
b'20070217200000',0
b'20070217210000',0
b'20070217220000',0
b'20070217230000',0
b'20070218000000',0
b'20070218010000',0
b'20070218020000',0
b'20070218030000',0
b'20070218040000',0
b'20070218050000',0
b'20070218060000',0
b'20070218070000',0
b'20070218080000',0
b'20070218090000',0
b'20070218100000',0
b'20070218110000',0
b'20070218120000',0
b'20070218130000',0
b'20070218140000',0
b'20070218150000',0
b'20070218160000',0
b'20070218170000',0
b'20070218180000',0
b'20070218190000',0
b'20070218200000',0
b'20070218210000',0
b'20070218220000',0
b'20070218230000',0
b'20070219000000',0
b'20070219010000',0
b'20070219020000',0
b'20070219030000',0
b'20070219040000',0
b'20070219050000',0
b'20070219060000',0
b'20070219070000',0
b'20070219080000',0
b'20070219090000',0
b'20070219100000',0
b'20070219110000',0
b'20070219120000',0
b'20070219130000',0
b'20070219140000',0
b'20070219150000',0
b'20070219160000',0
b'20070219170000',0
b'20070219180000',0
b'20070219190000',0
b'20070219200000',0
b'20070219210000',0
b'20070219220000',0
b'20070219230000',0
b'20070220000000',0
b'20070220010000',0
b'20070220020000',0
b'20070220030000',0
b'20070220040000',0
b'20070220050000',0
b'20070220060000',0
b'20070220070000',0
b'20070220080000',0
b'20070220090000',0
b'20070220100000',0
b'20070220110000',0
b'20070220120000',0
b'20070220130000',0
b'20070220140000',0
b'20070220150000',0
b'20070220160000',0
b'20070220170000',0
b'20070220180000',0
b'20070220190000',0
b'20070220200000',0
b'20070220210000',0
b'20070220220000',0
b'20070220230000',0
b'20070221000000',0
b'20070221010000',0
b'20070221020000',0
b'20070221030000',0
b'20070221040000',0
b'20070221050000',0
b'20070221060000',0
b'20070221070000',0
b'20070221080000',0
b'20070221090000',0
b'20070221100000',0
b'20070221110000',0
b'20070221120000',0
b'20070221130000',0
b'20070221140000',0
b'20070221150000',0
b'20070221160000',0
b'20070221170000',0
b'20070221180000',0
b'20070221190000',0
b'20070221200000',0
b'20070221210000',0
b'20070221220000',0
b'20070221230000',0
b'20070222000000',0
b'20070222010000',0
b'20070222020000',0
b'20070222030000',0
b'20070222040000',0
b'20070222050000',0
b'20070222060000',0
b'20070222070000',0
b'20070222080000',0
b'20070222090000',0
b'20070222100000',0
b'20070222110000',0
b'20070222120000',0
b'20070222130000',0
b'20070222140000',0
b'20070222150000',0
b'20070222160000',0
b'20070222170000',0
b'20070222180000',0
b'20070222190000',0
b'20070222200000',0
b'20070222210000',0
b'20070222220000',0
b'20070222230000',0
b'20070223000000',0
b'20070223010000',0
b'20070223020000',0
b'20070223030000',0
b'20070223040000',0
b'20070223050000',0
b'20070223060000',0
b'20070223070000',0
b'20070223080000',0
b'20070223090000',0
b'20070223100000',0
b'20070223110000',0
b'20070223120000',0
b'20070223130000',0
b'20070223140000',0
b'20070223150000',0
b'20070223160000',0
b'20070223170000',0
b'20070223180000',0
b'20070223190000',0
b'20070223200000',0
b'20070223210000',0
b'20070223220000',0
b'20070223230000',0
b'20070224000000',0
b'20070224010000',0
b'20070224020000',0
b'20070224030000',0
b'20070224040000',0
b'20070224050000',0
b'20070224060000',0
b'20070224070000',0
b'20070224080000',0
b'20070224090000',0
b'20070224100000',0
b'20070224110000',0
b'20070224120000',0
b'20070224130000',0
b'20070224140000',0
b'20070224150000',0
b'20070224160000',0
b'20070224170000',0
b'20070224180000',0
b'20070224190000',0
b'20070224200000',0
b'20070224210000',0
b'20070224220000',0
b'20070224230000',0
b'20070225000000',0
