,0
781,0.6348824976957597
782,0.6348824976957597
783,0.6348824976957597
784,0.6348824976957597
785,0.6348824976957597
786,0.6348824976957597
787,0.6348824976957597
788,0.6348824976957597
789,0.6348824976957597
790,0.6348824976957597
791,0.6348824976957597
792,0.593359267587705
793,0.593359267587705
794,0.593359267587705
795,0.593359267587705
796,0.593359267587705
797,0.593359267587705
798,0.593359267587705
799,0.593359267587705
800,0.593359267587705
801,0.593359267587705
802,0.593359267587705
803,0.593359267587705
804,0.593359267587705
805,0.593359267587705
806,0.593359267587705
807,0.593359267587705
808,0.593359267587705
809,0.593359267587705
810,0.593359267587705
811,0.593359267587705
812,0.593359267587705
813,0.593359267587705
814,0.593359267587705
815,0.593359267587705
816,0.5825369570920895
817,0.5825369570920895
818,0.5825369570920895
819,0.5825369570920895
820,0.5825369570920895
821,0.5825369570920895
822,0.5825369570920895
823,0.5825369570920895
824,0.5825369570920895
825,0.5825369570920895
826,0.5825369570920895
827,0.5825369570920895
828,0.5825369570920895
829,0.5825369570920895
830,0.5825369570920895
831,0.5825369570920895
832,0.5825369570920895
833,0.5825369570920895
834,0.5825369570920895
835,0.5825369570920895
836,0.5825369570920895
837,0.5825369570920895
838,0.5825369570920895
839,0.5825369570920895
840,0.6991813898485765
841,0.6991813898485765
842,0.6991813898485765
843,0.6991813898485765
844,0.6991813898485765
845,0.6991813898485765
846,0.6991813898485765
847,0.6991813898485765
848,0.6991813898485765
849,0.6991813898485765
850,0.6991813898485765
851,0.6991813898485765
852,0.6991813898485765
853,0.6991813898485765
854,0.6991813898485765
855,0.6991813898485765
856,0.6991813898485765
857,0.6991813898485765
858,0.6991813898485765
859,0.6991813898485765
860,0.6991813898485765
861,0.6991813898485765
862,0.6991813898485765
863,0.6991813898485765
864,0.85
865,0.85
866,0.85
867,0.85
868,0.85
869,0.85
870,0.85
871,0.85
872,0.85
873,0.85
874,0.85
875,0.85
876,0.85
877,0.85
878,0.85
879,0.85
880,0.85
